a_id,user_id,post_id,post_text,annotation_date,result,issue,comments
391,5,746_base_model_540,How the hell is that entertaining.,2025-12-20 21:38:23.725121,"{'post_id': '746_base_model_540', 'comments': '', 'post_text': 'How the hell is that entertaining.', 'post_issue': 'Cmv: nascar and formula 1 racing are not a sports.:', 'otherErrorQuestion1': 'other5', 'otherErrorQuestion2': 'other10', 'otherErrorQuestion3': 'other15', 'otherErrorQuestion4': 'other20', 'post_rewritten_part': 'How', 'post_inappropriate_part': 'How the hell'}",Cmv: nascar and formula 1 racing are not a sports.:,
1276,3,1970_50a_50ss_601,We have laws that are supposedly in place (like the seatbelt law) to protect ourselves from harming ourselves -- yet we have not legislated all forms of self-harm.,2025-12-22 02:27:36.406139,"{'post_id': '1970_50a_50ss_601', 'comments': '', 'post_text': 'We have laws that are supposedly in place (like the seatbelt law) to protect ourselves from harming ourselves -- yet we have not legislated all forms of self-harm.', 'post_issue': 'Do you hate ""law"" as much as i hate ""law""?:', 'otherErrorQuestion1': 'other3', 'otherErrorQuestion2': 'other9', 'otherErrorQuestion3': 'other14', 'otherErrorQuestion4': 'other19', 'post_rewritten_part': 'types', 'post_inappropriate_part': 'forms'}","Do you hate ""law"" as much as i hate ""law""?:",
1279,3,577_v11_only_lm_440,It's boring.,2025-12-22 02:28:58.326201,"{'post_id': '577_v11_only_lm_440', 'comments': '', 'post_text': ""It's boring."", 'post_issue': 'What is the worst thing about being in jail?:', 'otherErrorQuestion1': 'other5', 'otherErrorQuestion2': 'other9', 'otherErrorQuestion3': 'other15', 'otherErrorQuestion4': 'other20', 'post_rewritten_part': ""It's often boring."", 'post_inappropriate_part': ""It's boring.""}",What is the worst thing about being in jail?:,
1280,3,188_50a_50ss_61,This will not help you win the debate by the way.,2025-12-22 02:29:18.616259,"{'post_id': '188_50a_50ss_61', 'comments': '', 'post_text': 'This will not help you win the debate by the way.', 'post_issue': 'Evolution vs creation:', 'otherErrorQuestion1': 'other4', 'otherErrorQuestion2': 'other7', 'otherErrorQuestion3': 'other12', 'otherErrorQuestion4': 'other18', 'post_rewritten_part': 'The link is supposed to help determine the truth of the matter, so it should only be clicked if you are truly convinced that Creationism is true', 'post_inappropriate_part': 'This will not help you win the debate by the way'}",Evolution vs creation:,
1282,3,9_50a_50ss_7,Television is like a drug.,2025-12-22 02:29:57.765854,"{'post_id': '9_50a_50ss_7', 'comments': '', 'post_text': 'Television is like a drug.', 'post_issue': 'Tv is better than books:', 'otherErrorQuestion1': 'other4', 'otherErrorQuestion2': 'other8', 'otherErrorQuestion3': 'other13', 'otherErrorQuestion4': 'other18', 'post_rewritten_part': 'It can be extremely addictive and can destroy the morals of children if they are exposed to inappropriate content', 'post_inappropriate_part': 'Television is like a drug'}",Tv is better than books:,
1284,3,417_v11_only_lm_313,It is almost impossible to think through EVERY issue for yourself because there are so many.,2025-12-22 02:30:27.697982,"{'post_id': '417_v11_only_lm_313', 'comments': '', 'post_text': 'It is almost impossible to think through EVERY issue for yourself because there are so many.', 'post_issue': 'Hypocrites?:', 'otherErrorQuestion1': 'other4', 'otherErrorQuestion2': 'other10', 'otherErrorQuestion3': 'other15', 'otherErrorQuestion4': 'other20', 'post_rewritten_part': ""It's almost impossible to think through every issue for yourself"", 'post_inappropriate_part': 'It is almost impossible to think through EVERY issue for yourself'}",Hypocrites?:,
1285,3,54_v11_only_lm_35,there aint no sunshine without plastic water bottles.,2025-12-22 02:30:50.715915,"{'post_id': '54_v11_only_lm_35', 'comments': '', 'post_text': 'there aint no sunshine without plastic water bottles.', 'post_issue': 'Ban plastic water bottles:', 'otherErrorQuestion1': 'other5', 'otherErrorQuestion2': 'other10', 'otherErrorQuestion3': 'other15', 'otherErrorQuestion4': 'other20', 'post_rewritten_part': 'without plastic water bottles', 'post_inappropriate_part': 'without plastic water bottles.'}",Ban plastic water bottles:,
385,5,788_v11_only_lm_608,"BTW, IE blows when making pages and trying to get things to look right.",2025-12-20 21:34:20.810566,"{'post_id': '788_v11_only_lm_608', 'comments': '', 'post_text': 'BTW, IE blows when making pages and trying to get things to look right.', 'post_issue': 'Firefox vs internet explorer:', 'otherErrorQuestion1': 'other4', 'otherErrorQuestion2': 'other8', 'otherErrorQuestion3': 'other14', 'otherErrorQuestion4': 'other19', 'post_rewritten_part': 'rendering pages and making things look right.', 'post_inappropriate_part': 'when making pages and trying to get things to look right.'}",Firefox vs internet explorer:,
386,5,2153_base_model_1496,"But basically I was talking with my parents who are both vehemently religious and I made a realization that while religion does contribute to wars, the biggest problem that religion is that it prevents the spread of advancement in science, specifically in the fields of medicine, climate, and biology (with issues in climate change and evolution), and society, specifically with same-sex marriage, abortion, contraception, marijuana, et cetera.",2025-12-20 21:34:29.042339,"{'post_id': '2153_base_model_1496', 'comments': '', 'post_text': 'But basically I was talking with my parents who are both vehemently religious and I made a realization that while religion does contribute to wars, the biggest problem that religion is that it prevents the spread of advancement in science, specifically in the fields of medicine, climate, and biology (with issues in climate change and evolution), and society, specifically with same-sex marriage, abortion, contraception, marijuana, et cetera.', 'post_issue': ""Cmv: the biggest problem with religion isn't the amount of violence waged in its name, but the amount of advancement in science and society that is stifled because of what some believe.:"", 'otherErrorQuestion1': 'other4', 'otherErrorQuestion2': 'other8', 'otherErrorQuestion3': 'other15', 'otherErrorQuestion4': 'other19', 'post_rewritten_part': 'However, I realized that', 'post_inappropriate_part': 'But basically'}","Cmv: the biggest problem with religion isn't the amount of violence waged in its name, but the amount of advancement in science and society that is stifled because of what some believe.:",
390,5,8_v11_only_lm_5,I thick that book are better than TV is it is better i can put you in a whole norther wold,2025-12-20 21:38:15.097776,"{'post_id': '8_v11_only_lm_5', 'comments': '', 'post_text': 'I thick that book are better than TV is it is better i can put you in a whole norther wold', 'post_issue': 'Tv is better than books:', 'otherErrorQuestion1': 'other5', 'otherErrorQuestion2': 'other10', 'otherErrorQuestion3': 'other14', 'otherErrorQuestion4': 'other20', 'post_rewritten_part': 'can transport you to a different world', 'post_inappropriate_part': 'i can put you in a whole norther wold'}",Tv is better than books:,
392,5,1612_50a_50ss_511,I'm an avid christian and I believe that gay marriage is wrong beyond belief.,2025-12-20 21:39:08.172463,"{'post_id': '1612_50a_50ss_511', 'comments': '', 'post_text': ""I'm an avid christian and I believe that gay marriage is wrong beyond belief."", 'post_issue': 'Gay marriage right or wrong:', 'otherErrorQuestion1': 'other2', 'otherErrorQuestion2': 'other8', 'otherErrorQuestion3': 'other13', 'otherErrorQuestion4': 'other18', 'post_rewritten_part': 'not in accordance with my faith', 'post_inappropriate_part': 'wrong beyond belief'}",Gay marriage right or wrong:,
393,5,2128_base_model_1477,Obviously you are better off wearing your seatbelt.,2025-12-20 21:39:14.131373,"{'post_id': '2128_base_model_1477', 'comments': '', 'post_text': 'Obviously you are better off wearing your seatbelt.', 'post_issue': 'Do you think that the government should be able to fine you for not wearing a seat belt?:', 'otherErrorQuestion1': 'other2', 'otherErrorQuestion2': 'other8', 'otherErrorQuestion3': 'other13', 'otherErrorQuestion4': 'other18', 'post_rewritten_part': 'Wearing a seatbelt is clearly a safer option.', 'post_inappropriate_part': 'Obviously you are better off wearing your seatbelt.'}",Do you think that the government should be able to fine you for not wearing a seat belt?:,
394,5,1930_50a_50ss_595,No one ever said science is PERFECT.,2025-12-20 21:39:48.860328,"{'post_id': '1930_50a_50ss_595', 'comments': '', 'post_text': 'No one ever said science is PERFECT.', 'post_issue': 'Christianity or atheism:', 'otherErrorQuestion1': 'other4', 'otherErrorQuestion2': 'other10', 'otherErrorQuestion3': 'other14', 'otherErrorQuestion4': 'other20', 'post_rewritten_part': 'definitive', 'post_inappropriate_part': 'PERFECT'}",Christianity or atheism:,
395,5,387_50a_50ss_127,So is that right in any case?,2025-12-20 21:40:18.125055,"{'post_id': '387_50a_50ss_127', 'comments': '', 'post_text': 'So is that right in any case?', 'post_issue': 'Gay marriage right or wrong:', 'otherErrorQuestion1': 'other2', 'otherErrorQuestion2': 'other8', 'otherErrorQuestion3': 'other14', 'otherErrorQuestion4': 'other19', 'post_rewritten_part': 'What is the purpose of marriage if two people just get together to have children', 'post_inappropriate_part': 'So is that right in any case'}",Gay marriage right or wrong:,
396,5,54_v11_only_lm_35,there aint no sunshine without plastic water bottles.,2025-12-20 21:41:05.839486,"{'post_id': '54_v11_only_lm_35', 'comments': '', 'post_text': 'there aint no sunshine without plastic water bottles.', 'post_issue': 'Ban plastic water bottles:', 'otherErrorQuestion1': 'other5', 'otherErrorQuestion2': 'other10', 'otherErrorQuestion3': 'other15', 'otherErrorQuestion4': 'other20', 'post_rewritten_part': 'without plastic water bottles', 'post_inappropriate_part': 'without plastic water bottles.'}",Ban plastic water bottles:,
397,5,291_v11_only_lm_219,"That means if anything we create is artificial, we ourselves are artificial intelligence.....if we were created.",2025-12-20 21:44:47.864888,"{'post_id': '291_v11_only_lm_219', 'comments': '', 'post_text': 'That means if anything we create is artificial, we ourselves are artificial intelligence.....if we were created.', 'post_issue': 'If humans were created, are we technically artificial intelligence?   stance: yes.:', 'otherErrorQuestion1': 'other2', 'otherErrorQuestion2': 'other8', 'otherErrorQuestion3': 'other13', 'otherErrorQuestion4': 'other18', 'post_rewritten_part': 'That means if anything we create is artificial, we ourselves might be artificial intelligence', 'post_inappropriate_part': 'That means if anything we create is artificial'}","If humans were created, are we technically artificial intelligence?   stance: yes.:",
398,5,788_v11_only_lm_611,FF sticks to world wide web consortiums standards much closer than IE ever did or will.,2025-12-20 21:45:21.712221,"{'post_id': '788_v11_only_lm_611', 'comments': '', 'post_text': 'FF sticks to world wide web consortiums standards much closer than IE ever did or will.', 'post_issue': 'Firefox vs internet explorer:', 'otherErrorQuestion1': 'other3', 'otherErrorQuestion2': 'other8', 'otherErrorQuestion3': 'other14', 'otherErrorQuestion4': 'other19', 'post_rewritten_part': 'standards than', 'post_inappropriate_part': 'standards much closer than'}",Firefox vs internet explorer:,
399,5,1997_50a_50ss_624,"""Give me a child until theyre 7 and i will give you the man"" The world is one big chaotic system.",2025-12-20 21:45:53.476168,"{'post_id': '1997_50a_50ss_624', 'comments': '', 'post_text': '""Give me a child until theyre 7 and i will give you the man"" The world is one big chaotic system.', 'post_issue': 'Cmv: a person becomes homeless because they live in a society that creates homelessness and not because of anything intrinsic to that person:', 'otherErrorQuestion1': 'other2', 'otherErrorQuestion2': 'other8', 'otherErrorQuestion3': 'other13', 'otherErrorQuestion4': 'other18', 'post_rewritten_part': ""a chaotic system where choices an adult makes are determined by how the environment shapes a child, and seemingly insignificant choices can have a big effect on life's trajectory"", 'post_inappropriate_part': 'one big chaotic system'}",Cmv: a person becomes homeless because they live in a society that creates homelessness and not because of anything intrinsic to that person:,
409,5,738_v11_only_lm_561,"last time i checked he still has the right to a court appt attorney..until then if you can""t make bail or get a bondsmen then i guess he will have to tough it till his court date.....if he hates it that bad..then maybe he won't make the same mistake again when choosing a girl.",2025-12-20 21:48:44.587868,"{'post_id': '738_v11_only_lm_561', 'comments': '', 'post_text': 'last time i checked he still has the right to a court appt attorney..until then if you can""t make bail or get a bondsmen then i guess he will have to tough it till his court date.....if he hates it that bad..then maybe he won\'t make the same mistake again when choosing a girl.', 'post_issue': 'I have a son that is in jail in atlanta ga and needs help.we cannot afford the high bail.and legal cost.?:', 'otherErrorQuestion1': 'other3', 'otherErrorQuestion2': 'other8', 'otherErrorQuestion3': 'other14', 'otherErrorQuestion4': 'other18', 'post_rewritten_part': 'Perhaps he will learn from this experience and make better choices in the future.', 'post_inappropriate_part': ""if he hates it that bad..then maybe he won't make the same mistake again when choosing a girl.""}",I have a son that is in jail in atlanta ga and needs help.we cannot afford the high bail.and legal cost.?:,
1277,3,915_base_model_651,"But people free to their whims and desires are malicious, myopic, primitive, subject to vices, cannot be trusted, and must be kept in line, to a certain extent.",2025-12-22 02:28:19.647446,"{'post_id': '915_base_model_651', 'comments': '', 'post_text': 'But people free to their whims and desires are malicious, myopic, primitive, subject to vices, cannot be trusted, and must be kept in line, to a certain extent.', 'post_issue': 'Laissez faire ?   stance: no:', 'otherErrorQuestion1': 'other4', 'otherErrorQuestion2': 'other9', 'otherErrorQuestion3': 'other14', 'otherErrorQuestion4': 'other19', 'post_rewritten_part': 'malicious, myopic, and prone to vices, and therefore cannot be trusted, and need to be kept in check, to some extent.', 'post_inappropriate_part': 'malicious, myopic, primitive, subject to vices, cannot be trusted, and must be kept in line, to a certain extent.'}",Laissez faire ?   stance: no:,
1278,3,577_base_model_421,So each has it's pros and con's but I would have to recommend psyche ward over jail.,2025-12-22 02:28:44.799623,"{'post_id': '577_base_model_421', 'comments': '', 'post_text': ""So each has it's pros and con's but I would have to recommend psyche ward over jail."", 'post_issue': 'What is the worst thing about being in jail?:', 'otherErrorQuestion1': 'other4', 'otherErrorQuestion2': 'other10', 'otherErrorQuestion3': 'other15', 'otherErrorQuestion4': 'other20', 'post_rewritten_part': 'but I would recommend the psychiatric ward over jail.', 'post_inappropriate_part': 'but I would have to recommend psyche ward over jail.'}",What is the worst thing about being in jail?:,
1281,3,1656_v11_only_lm_1304,"the whole town knows it, the lawyers, the cops, etc.",2025-12-22 02:29:35.204047,"{'post_id': '1656_v11_only_lm_1304', 'comments': '', 'post_text': 'the whole town knows it, the lawyers, the cops, etc.', 'post_issue': 'In the usa, are judges too powerful?:', 'otherErrorQuestion1': 'other4', 'otherErrorQuestion2': 'other10', 'otherErrorQuestion3': 'other15', 'otherErrorQuestion4': 'other20', 'post_rewritten_part': 'Everyone in the town is aware of this, including lawyers, police officers, and others.', 'post_inappropriate_part': 'the whole town knows it, the lawyers, the cops, etc.'}","In the usa, are judges too powerful?:",
1283,3,873_50a_50ss_267,Statistics show that criminals do less when up against a well-armed citizen.,2025-12-22 02:30:13.205742,"{'post_id': '873_50a_50ss_267', 'comments': '', 'post_text': 'Statistics show that criminals do less when up against a well-armed citizen.', 'post_issue': 'Gun control?:', 'otherErrorQuestion1': 'other3', 'otherErrorQuestion2': 'other6', 'otherErrorQuestion3': 'other12', 'otherErrorQuestion4': 'other17', 'post_rewritten_part': 'The presence of a gun that is able to fire multiple rounds is much more effective than a gun with a single shot', 'post_inappropriate_part': 'Statistics show that criminals do less when up against a well-armed citizen'}",Gun control?:,
1287,3,8_base_model_6,I thick that book are better than TV is it is better i can put you in a whole norther wold,2025-12-22 02:31:41.952365,"{'post_id': '8_base_model_6', 'comments': '', 'post_text': 'I thick that book are better than TV is it is better i can put you in a whole norther wold', 'post_issue': 'Tv is better than books:', 'otherErrorQuestion1': 'other3', 'otherErrorQuestion2': 'other9', 'otherErrorQuestion3': 'other14', 'otherErrorQuestion4': 'other19', 'post_rewritten_part': 'because it allows you to immerse yourself in a northern world', 'post_inappropriate_part': 'it is better'}",Tv is better than books:,
1379,3,417_base_model_285,The result is an inconsistent view (also note opinions on the death penalty).,2025-12-22 12:54:38.015496,"{'post_id': '417_base_model_285', 'comments': '', 'post_text': 'The result is an inconsistent view (also note opinions on the death penalty).', 'post_issue': 'Hypocrites?:', 'otherErrorQuestion1': 'other5', 'otherErrorQuestion2': 'other10', 'otherErrorQuestion3': 'other15', 'otherErrorQuestion4': 'other20', 'post_rewritten_part': 'The result is an inconsistent view, also reflected in their opinions on the death penalty.', 'post_inappropriate_part': 'The result is an inconsistent view (also note opinions on the death penalty).'}",Hypocrites?:,
1380,3,1950_base_model_1370,Dosen't it say in the declaration of independence that we have the right to life liberty and the purist of happiness,2025-12-22 12:56:22.892321,"{'post_id': '1950_base_model_1370', 'comments': '', 'post_text': ""Dosen't it say in the declaration of independence that we have the right to life liberty and the purist of happiness"", 'post_issue': 'Gay marriage right or wrong:', 'otherErrorQuestion1': 'other5', 'otherErrorQuestion2': 'other10', 'otherErrorQuestion3': 'other15', 'otherErrorQuestion4': 'other19', 'post_rewritten_part': 'the pursuit of happiness', 'post_inappropriate_part': 'the purist of happiness'}",Gay marriage right or wrong:,
1852,3,1909_v11_only_lm_1451,If I choose pro-life I have no choice.,2025-12-29 20:24:35.477191,"{'post_id': '1909_v11_only_lm_1451', 'comments': '', 'post_text': 'If I choose pro-life I have no choice.', 'post_issue': 'Pro choice vs pro life:', 'otherErrorQuestion1': 'other4', 'otherErrorQuestion2': 'other10', 'otherErrorQuestion3': 'other15', 'otherErrorQuestion4': 'other19', 'post_rewritten_part': 'If I support a pro-life stance', 'post_inappropriate_part': 'If I choose pro-life'}",Pro choice vs pro life:,
400,5,1667_base_model_1230,"We're in Britain here where the covering your face is seen as suspicious, these women relly need to think about the message the veil puts across about them and their religion.",2025-12-20 21:46:15.866897,"{'post_id': '1667_base_model_1230', 'comments': '', 'post_text': ""We're in Britain here where the covering your face is seen as suspicious, these women relly need to think about the message the veil puts across about them and their religion."", 'post_issue': 'Was the judge right to ask the muslim lawyer to remove her veil yesterday?:', 'otherErrorQuestion1': 'other4', 'otherErrorQuestion2': 'other8', 'otherErrorQuestion3': 'other14', 'otherErrorQuestion4': 'other20', 'post_rewritten_part': ""We're in Britain, where covering one's face is seen as suspicious; these women need to consider the message the veil sends about them and their religion."", 'post_inappropriate_part': ""We're in Britain here where the covering your face is seen as suspicious, these women relly need to think about the message the veil puts across about them and their religion.""}",Was the judge right to ask the muslim lawyer to remove her veil yesterday?:,
401,5,1656_50a_50ss_520,yes and most of them are hypocrites.,2025-12-20 21:46:25.361095,"{'post_id': '1656_50a_50ss_520', 'comments': '', 'post_text': 'yes and most of them are hypocrites.', 'post_issue': 'In the usa, are judges too powerful?:', 'otherErrorQuestion1': 'other5', 'otherErrorQuestion2': 'other10', 'otherErrorQuestion3': 'other15', 'otherErrorQuestion4': 'other20', 'post_rewritten_part': 'Yes,', 'post_inappropriate_part': 'yes'}","In the usa, are judges too powerful?:",
402,5,696_v11_only_lm_498,How would you consider PE if the child is not so well?,2025-12-20 21:46:45.598328,"{'post_id': '696_v11_only_lm_498', 'comments': '', 'post_text': 'How would you consider PE if the child is not so well?', 'post_issue': 'Should physical education be mandatory in schools:', 'otherErrorQuestion1': 'other3', 'otherErrorQuestion2': 'other9', 'otherErrorQuestion3': 'other14', 'otherErrorQuestion4': 'other19', 'post_rewritten_part': 'if the child is not well', 'post_inappropriate_part': 'if the child is not so well'}",Should physical education be mandatory in schools:,
403,5,54_v11_only_lm_33,there aint no sunshine without plastic water bottles.,2025-12-20 21:46:51.924888,"{'post_id': '54_v11_only_lm_33', 'comments': '', 'post_text': 'there aint no sunshine without plastic water bottles.', 'post_issue': 'Ban plastic water bottles:', 'otherErrorQuestion1': 'other4', 'otherErrorQuestion2': 'other10', 'otherErrorQuestion3': 'other15', 'otherErrorQuestion4': 'other20', 'post_rewritten_part': 'There is no', 'post_inappropriate_part': 'there aint'}",Ban plastic water bottles:,
404,5,1038_base_model_798,"It's not legal because it can't be regulated by the government, because it's generally regarded as a gateway drug (one that leads to other, more dangerous drug use), and because, since it hasn't always been legal like in some European countries, legalizing it would not only lead to a massive initial interest in it-- which would lead to increased health care costs (don't front; it damages respiratory systems and impairs judgment) and decrease labor quality-- and all those drug dealers who sold weed would need to find something else to do, and my guess is it wouldn't be a legit job--",2025-12-20 21:47:12.993306,"{'post_id': '1038_base_model_798', 'comments': '', 'post_text': ""It's not legal because it can't be regulated by the government, because it's generally regarded as a gateway drug (one that leads to other, more dangerous drug use), and because, since it hasn't always been legal like in some European countries, legalizing it would not only lead to a massive initial interest in it-- which would lead to increased health care costs (don't front; it damages respiratory systems and impairs judgment) and decrease labor quality-- and all those drug dealers who sold weed would need to find something else to do, and my guess is it wouldn't be a legit job--"", 'post_issue': 'Why is marijuana illegal?!?:', 'otherErrorQuestion1': 'other3', 'otherErrorQuestion2': 'other8', 'otherErrorQuestion3': 'other14', 'otherErrorQuestion4': 'other19', 'post_rewritten_part': 'is generally considered a gateway drug', 'post_inappropriate_part': ""it's generally regarded as a gateway drug (one that leads to other, more dangerous drug use)""}",Why is marijuana illegal?!?:,
405,5,153_50a_50ss_48,Since this place is close to where i live and it showed good yelp ratings i figured i would give it a try.,2025-12-20 21:47:20.776988,"{'post_id': '153_50a_50ss_48', 'comments': '', 'post_text': 'Since this place is close to where i live and it showed good yelp ratings i figured i would give it a try.', 'post_issue': 'Business review: 2.0 stars\r\nbusiness name: agincourt bakery. city: scarborough. categories: event planning & services, delis, caterers, italian, bakeries, food, restaurants:', 'otherErrorQuestion1': 'other2', 'otherErrorQuestion2': 'other7', 'otherErrorQuestion3': 'other13', 'otherErrorQuestion4': 'other19', 'post_rewritten_part': 'I went to try the veal sandwich and baked goods', 'post_inappropriate_part': 'Since this place is close to where i live and it showed good yelp ratings i figured i would give it a try'}","Business review: 2.0 stars
business name: agincourt bakery. city: scarborough. categories: event planning & services, delis, caterers, italian, bakeries, food, restaurants:",
406,5,387_base_model_255,I'm an agnostic so in no way does my religion conflict with this matter.,2025-12-20 21:47:26.834682,"{'post_id': '387_base_model_255', 'comments': '', 'post_text': ""I'm an agnostic so in no way does my religion conflict with this matter."", 'post_issue': 'Gay marriage right or wrong:', 'otherErrorQuestion1': 'other5', 'otherErrorQuestion2': 'other10', 'otherErrorQuestion3': 'other14', 'otherErrorQuestion4': 'other20', 'post_rewritten_part': 'As an agnostic, my religion does not conflict with this matter.', 'post_inappropriate_part': ""I'm an agnostic so in no way does my religion conflict with this matter.""}",Gay marriage right or wrong:,
407,5,1155_base_model_916,And i know that none of us are unknown to the great contribution of INDIA in the discovery of god partical then from where the matter comes from that INDIA is not having the pottential,2025-12-20 21:47:34.505933,"{'post_id': '1155_base_model_916', 'comments': '', 'post_text': 'And i know that none of us are unknown to the great contribution of INDIA in the discovery of god partical then from where the matter comes from that INDIA is not having the pottential', 'post_issue': 'India has the potential to lead the world:', 'otherErrorQuestion1': 'other4', 'otherErrorQuestion2': 'other9', 'otherErrorQuestion3': 'other14', 'otherErrorQuestion4': 'other20', 'post_rewritten_part': 'India is not considered to have the potential', 'post_inappropriate_part': 'INDIA is not having the pottential'}",India has the potential to lead the world:,
422,5,192_base_model_138,Whoever said porn degrades women is idiotic.,2025-12-20 21:53:54.351403,"{'post_id': '192_base_model_138', 'comments': '', 'post_text': 'Whoever said porn degrades women is idiotic.', 'post_issue': 'Is porn wrong:', 'otherErrorQuestion1': 'other3', 'otherErrorQuestion2': 'other9', 'otherErrorQuestion3': 'other14', 'otherErrorQuestion4': 'other19', 'post_rewritten_part': 'porn degrades women are misguided', 'post_inappropriate_part': 'porn degrades women is idiotic'}",Is porn wrong:,
408,5,735_base_model_517,And there is no legal system which is perfect!,2025-12-20 21:48:34.802401,"{'post_id': '735_base_model_517', 'comments': '""There is no"" should not be capitalized and inserted into the sentence this way.', 'post_text': 'And there is no legal system which is perfect!', 'post_issue': 'All rise! i would never honor any earthly man, especially the crooked, hacks that we have as judges.?:', 'otherErrorQuestion1': 'other1', 'otherErrorQuestion2': 'other8', 'otherErrorQuestion3': 'other12', 'otherErrorQuestion4': 'other19', 'post_rewritten_part': 'There is no', 'post_inappropriate_part': 'i'}","All rise! i would never honor any earthly man, especially the crooked, hacks that we have as judges.?:","""There is no"" should not be capitalized and inserted into the sentence this way."
410,5,1462_v11_only_lm_1175,"If god loves everyone then y does he hate gays and the bible is just a book, have you ever wondered that the one cardinal who translated it changed some things to make ""god"" look good",2025-12-20 21:49:03.046993,"{'post_id': '1462_v11_only_lm_1175', 'comments': '', 'post_text': 'If god loves everyone then y does he hate gays and the bible is just a book, have you ever wondered that the one cardinal who translated it changed some things to make ""god"" look good', 'post_issue': 'Christianity or atheism:', 'otherErrorQuestion1': 'other5', 'otherErrorQuestion2': 'other10', 'otherErrorQuestion3': 'other15', 'otherErrorQuestion4': 'other20', 'post_rewritten_part': 'then why', 'post_inappropriate_part': 'then y'}",Christianity or atheism:,
411,5,573_50a_50ss_183,"Newspapers are in the business of bashing Bush, so they will do whatever it takes to hinder the war effort, and then hide behind freedom of the press.",2025-12-20 21:49:41.744171,"{'post_id': '573_50a_50ss_183', 'comments': '', 'post_text': 'Newspapers are in the business of bashing Bush, so they will do whatever it takes to hinder the war effort, and then hide behind freedom of the press.', 'post_issue': 'Should newspapers that work against our war effort be tolerated?:', 'otherErrorQuestion1': 'other2', 'otherErrorQuestion2': 'other7', 'otherErrorQuestion3': 'other12', 'otherErrorQuestion4': 'other18', 'post_rewritten_part': 'There are a lot of Clinton era hold-overs that are still working in the government and they are not eager to share information with the military on the ground for fear of it getting out', 'post_inappropriate_part': 'Newspapers are in the business of bashing Bush, so they will do whatever it takes to hinder the war effort, and then hide behind freedom of the press'}",Should newspapers that work against our war effort be tolerated?:,
412,5,188_v11_only_lm_135,Just a note to the creationists.,2025-12-20 21:51:44.704463,"{'post_id': '188_v11_only_lm_135', 'comments': '', 'post_text': 'Just a note to the creationists.', 'post_issue': 'Evolution vs creation:', 'otherErrorQuestion1': 'other4', 'otherErrorQuestion2': 'other10', 'otherErrorQuestion3': 'other14', 'otherErrorQuestion4': 'other20', 'post_rewritten_part': 'creationism', 'post_inappropriate_part': 'creationists'}",Evolution vs creation:,
413,5,289_base_model_196,"It's just good enough to not offend, and just shitty enough to please the unwashed plebs.",2025-12-20 21:51:52.904101,"{'post_id': '289_base_model_196', 'comments': '', 'post_text': ""It's just good enough to not offend, and just shitty enough to please the unwashed plebs."", 'post_issue': ""Cmv: i think yuengling is the best beer to get if you are having a party and don't know what beers people like.:"", 'otherErrorQuestion1': 'other4', 'otherErrorQuestion2': 'other9', 'otherErrorQuestion3': 'other14', 'otherErrorQuestion4': 'other20', 'post_rewritten_part': 'average person', 'post_inappropriate_part': 'unwashed plebs'}",Cmv: i think yuengling is the best beer to get if you are having a party and don't know what beers people like.:,
414,5,901_base_model_648,"If they receive amnesty, they would opt out of doing the dead end jobs they were paid peanuts to do. """,2025-12-20 21:52:28.508625,"{'post_id': '901_base_model_648', 'comments': '', 'post_text': 'If they receive amnesty, they would opt out of doing the dead end jobs they were paid peanuts to do. ""', 'post_issue': 'Cmv:there are no rational arguments as to why undocumented people in the us should be given amnesty:', 'otherErrorQuestion1': 'other3', 'otherErrorQuestion2': 'other8', 'otherErrorQuestion3': 'other14', 'otherErrorQuestion4': 'other19', 'post_rewritten_part': 'If they receive amnesty, they would likely opt out of doing the dead-end jobs they were paid low wages to do', 'post_inappropriate_part': 'If they receive amnesty, they would opt out of doing the dead end jobs they were paid peanuts to do'}",Cmv:there are no rational arguments as to why undocumented people in the us should be given amnesty:,
415,5,1997_base_model_1413,"Literally EVERY SINGLE choice you make, even subcobscious ones come together to create your destiny so the choices you do make as an adult are a product of how the world treats you as a child and the seemingly meaningless mundane choices we make decide through butterfly effect more than the ones that seem meaningful anyway.",2025-12-20 21:52:38.877506,"{'post_id': '1997_base_model_1413', 'comments': '', 'post_text': 'Literally EVERY SINGLE choice you make, even subcobscious ones come together to create your destiny so the choices you do make as an adult are a product of how the world treats you as a child and the seemingly meaningless mundane choices we make decide through butterfly effect more than the ones that seem meaningful anyway.', 'post_issue': 'Cmv: a person becomes homeless because they live in a society that creates homelessness and not because of anything intrinsic to that person:', 'otherErrorQuestion1': 'other4', 'otherErrorQuestion2': 'other10', 'otherErrorQuestion3': 'other15', 'otherErrorQuestion4': 'other19', 'post_rewritten_part': ', even subconscious ones', 'post_inappropriate_part': ', even subcobscious ones'}",Cmv: a person becomes homeless because they live in a society that creates homelessness and not because of anything intrinsic to that person:,
