id,source,inappropriate_part,rewritten_part,issue,batch
916_v11_only_lm_724,u mostly see rappers who r black go to jail for some stupid stuff and u nevr c any country singers that r white go anywhere bad!..im not sayin white ppl arent bad to cuz there are things that go on with them to but its all mostly black ppl!!...,im not sayin white ppl arent bad to cuz,"I'm not saying white people aren't capable of bad things, but","Who gives society a bad name,,,black people or white people?   stance: black:",1
400_v11_only_lm_297,"In other words, how do you draw a line?",how do you draw a line,how do you determine the line,Why does the government have the right to enact 'morals' laws?:,1
1241_v11_only_lm_1031,why?,why?,Why is that?,Jack thompson   stance: do you think that jack thompson is right. that video games are the reason more and more young people:,1
1203_v11_only_lm_989,"""hell no.. lets go out and drink..""","""hell no.. lets go out and drink..""","The societal pressure to conform often leads to the response, 'Let's go out and drink!'",What do you think of a person with a drug habbit ?:,1
0_v11_only_lm_1,students should wear what they like and feel free about their clothes,students should wear what they like,Students should be allowed to wear what makes them feel comfortable and confident,Is the school uniform a good or bad idea:,1
1401_v11_only_lm_1158,"I could bicker about the member who posted the debate on being illiterate...and rant on about how ridiculous it is to make such a remark...after all, how could posters be illiterate, if they read and write?","after all, how could posters be illiterate, if they read and write?",but posters can still be literate and read and write.,Is misspelling words really a huge problem?   stance: disagree:,1
845_v11_only_lm_633,(I do admit it's not purely spanking that's the cause but it's a small part of the bigger picture),(I do admit it's not purely spanking that's the cause but it's a small part of the bigger picture),"I admit that spanking is not the sole cause, but it's a small part of a larger issue.",Human growth and development should parents use spanking as an option to discipline:,1
1117_v11_only_lm_918,btw,btw,By the way,Is porn wrong:,1
54_v11_only_lm_33,there aint no sunshine without plastic water bottles.,there aint,There is no,Ban plastic water bottles:,1
2087_v11_only_lm_1564,"Eh, Atheism is a pretty cool guy.","Eh, Atheism is a pretty cool guy.",Atheism is a philosophical position that has its own merits.,Christianity or atheism:,1
891_v11_only_lm_694,"Why, gay man here, can be fired for being gay at any job in the country, can't have a civil union with my partner of 9 years, no domestic partnet rights, hell if it were up to some I would be better of on some deserted island with like kind........not free for me.......but still grateful to be an american and for those fighting for what rights i do have",can't have a civil union with my partner of 9 years,denied a civil union with my partner of 9 years,Why is our government lying to us?:,1
830_v11_only_lm_622,You can fix if he's lousy you can talk to him and knock some sense into him.,You can fix if he's lousy,You can try to improve him if he's lousy,Is it better to have a lousy father or to be fatherless:,1
691_v11_only_lm_479,"The idea of God is false is your own words, and I don't have to deal with this , whatever you think is your faith so we won't stop you.",and I don't have to deal with this,and I don't have to engage with this,Christianity or atheism:,1
153_v11_only_lm_122,I can't comment on the taste since i just checked it out but a handful of the items looked familiar from other bakeries which makes me think that they don't bake onsite.,I can't comment on the taste since i just checked it out,I couldn't comment on the taste since I just visited,"Business review: 2.0 stars
business name: agincourt bakery. city: scarborough. categories: event planning & services, delis, caterers, italian, bakeries, food, restaurants:",1
691_v11_only_lm_480,"The idea of God is false is your own words, and I don't have to deal with this , whatever you think is your faith so we won't stop you.",", whatever you think is your faith so we won't stop you.",", as you're free to hold your own faith.",Christianity or atheism:,1
1314_v11_only_lm_1079,Nothing.,Nothing.,Nothing of significant value.,Christianity or atheism:,1
229_v11_only_lm_149,one reason is just because so many more people agree with this side now,so many more people agree with this side now,many more people now support this side,Gay marriage right or wrong:,1
256_v11_only_lm_173,The crayola chart really is only needed by state and local governments as it advises if they need more resources for that particular time frame.,The crayola chart really is only needed by state and local governments,The color-coded threat level system is primarily used by state and local governments,Why do people still stand behind gw?:,1
1107_v11_only_lm_904,India is not yet that full of technologies like in the Americas.,like in the Americas,as many countries in the Americas,India has the potential to lead the world:,1
188_v11_only_lm_135,Just a note to the creationists.,creationists,creationism,Evolution vs creation:,1
1207_v11_only_lm_999,"Dear Friend, I'm not sure I agree with the premise of your question.","Dear Friend,","Dear friend,",Why are insurance companies allowed to profile but law enforcement isnt?:,1
321_v11_only_lm_238,"Each and every person have no time to help others, his only aim is to earn money in any way.",Each and every person,Each person,India has the potential to lead the world:,1
330_v11_only_lm_242,"That's your best argument - ""Because they don't"" ?",That's your best argument -,That's your best argument: ',Evolution vs creation:,1
1611_v11_only_lm_1267,"if you gays would stop calling attention to yourselves, nobody would really care what you do.",nobody would really care what you do,people might be less interested in their personal lives,Gay marriage right or wrong:,1
1089_v11_only_lm_882,"Matthew 5:18: ""For verily I say unto you, Till heaven and earth pass, one jot or one tittle shall in no wise pass from the law, till all be fulfilled.""",Till heaven and earth pass,until heaven and earth pass away,Is the law (torah) of god (yhwh) for today?   stance: that the law (torah) of god (yhwh) has not passed away and is for everyone who has their allegiance:,1
1271_v11_only_lm_1056,I can prove to you that humans have not evolved since the beginning of recorded history,that humans have not evolved,that humans have not evolved significantly,Evolution vs creation:,1
416_v11_only_lm_302,"Doc, be very careful with this.","Doc, be very careful with this.",Please be cautious with this.,Where can i find some lawyer's free consultation online especially on the matter of copyrights and trademark?:,1
738_v11_only_lm_559,"last time i checked he still has the right to a court appt attorney..until then if you can""t make bail or get a bondsmen then i guess he will have to tough it till his court date.....if he hates it that bad..then maybe he won't make the same mistake again when choosing a girl.",until then if you can,"until then, if you're able to",I have a son that is in jail in atlanta ga and needs help.we cannot afford the high bail.and legal cost.?:,1
2153_v11_only_lm_1613,"But basically I was talking with my parents who are both vehemently religious and I made a realization that while religion does contribute to wars, the biggest problem that religion is that it prevents the spread of advancement in science, specifically in the fields of medicine, climate, and biology (with issues in climate change and evolution), and society, specifically with same-sex marriage, abortion, contraception, marijuana, et cetera.",But basically,"However, I realized","Cmv: the biggest problem with religion isn't the amount of violence waged in its name, but the amount of advancement in science and society that is stifled because of what some believe.:",1
1462_v11_only_lm_1178,"If god loves everyone then y does he hate gays and the bible is just a book, have you ever wondered that the one cardinal who translated it changed some things to make ""god"" look good",is just a book,seem to hate gay people,Christianity or atheism:,1
2156_v11_only_lm_1626,Gove was an absolute blight on education and now we have this woman whose previous title is minister of women and equality but who also voted against gay marriage.,whose previous title is minister of women and equality,who has a mixed record on equality and social issues,"Cmv: nicky morgan, the new education secretary, is just as awful as gove.:",1
526_v11_only_lm_407,"god aint flipppin real, so get over it u dumb belivers of god",so get over it,so let's move on,Christianity or atheism:,1
1909_v11_only_lm_1449,I choose pro-choice because I have the option to choose pro life.,I choose pro-choice,I support pro-choice,Pro choice vs pro life:,1
1656_v11_only_lm_1304,"the whole town knows it, the lawyers, the cops, etc.","the whole town knows it, the lawyers, the cops, etc.","Everyone in the town is aware of this, including lawyers, police officers, and others.","In the usa, are judges too powerful?:",1
505_v11_only_lm_381,All these arguments about that porn leads to addiction are annoying me now -_- .,All these arguments about,I'm growing tired of hearing arguments,Is porn wrong:,1
830_v11_only_lm_625,I don't know how it would be if it was only my mom raising me.,if it was only my mom raising me.,if it were only my mom raising me.,Is it better to have a lousy father or to be fatherless:,1
982_v11_only_lm_757,Yeah I have a bottle of water next to me its no bid deal!,its,it's,Ban plastic water bottles:,1
1632_v11_only_lm_1281,Statistics prove that less than 1% of women who are raped get pregnant because of the adrenalin rush.,Statistics,Statistics show,Pro choice vs pro life:,1
1611_v11_only_lm_1258,gays are overrated.,gays are overrated.,Some people may overestimate the importance of the LGBTQ+ community.,Gay marriage right or wrong:,1
1909_v11_only_lm_1451,If I choose pro-life I have no choice.,If I choose pro-life,If I support a pro-life stance,Pro choice vs pro life:,1
1025_v11_only_lm_813,NO.,NO.,No.,Do you think that the govenment should have the right to tell us what we can put into our bodies like marijuna:,1
1155_v11_only_lm_964,And i know that none of us are unknown to the great contribution of INDIA in the discovery of god partical then from where the matter comes from that INDIA is not having the pottential,the great contribution of INDIA,India's great contributions to,India has the potential to lead the world:,1
1029_v11_only_lm_840,my sister does this for a living and their departements are severly underfunded and understaffed.,are severly underfunded and understaffed,is severely underfunded and understaffed,Do you feel that child protective services are doing there job protecting children.?:,1
306_v11_only_lm_231,"I think if the government wanted him dead, they would have offed him WAY before when he was actually inventing things which could possibly be related to weapons.",if the government wanted him dead,"if the government wanted him dead,",What killed nikola tesla   stance: natural causes:,1
696_v11_only_lm_498,How would you consider PE if the child is not so well?,if the child is not so well,if the child is not well,Should physical education be mandatory in schools:,1
593_v11_only_lm_458,"To me, anybody that throws up a fingerstache might as well be throwing up a Nazi salute, it's a confession of their secret desire to turn back to barbarism and project their hipster (or should I say Hitler) tastes and preferences onto the populous by way of force.",it's a confession of their secret desire to turn back to barbarism and project their hipster (or should I say Hitler) tastes and preferences onto the populous by way of force,and a desire to impose their personal taste on others through coercion,"Cmv: the moustache, facial hair in general, has become the embodiment of evil and the harbinger of bad times.:",1
2156_v11_only_lm_1623,"In my opinion, the Tories are all a bunch of selfish money hoarding bastards who don't give a shit about anyone except themselves.",who don't give a shit about anyone except themselves,over the well-being of others,"Cmv: nicky morgan, the new education secretary, is just as awful as gove.:",1
881_v11_only_lm_662,what's it up to?,what's it up to?,What's the current state of the deficit?,Bush to reduce deficit with domestic cuts?:,1
54_v11_only_lm_35,there aint no sunshine without plastic water bottles.,without plastic water bottles.,without plastic water bottles,Ban plastic water bottles:,1
1388_v11_only_lm_1143,"However this would only be the case of course if we as ""artificial beings"" of God our creator, would be capable of creating another sentient being in the same image and likeness of our creator and not just ourselves.",would be capable of creating another sentient being in the same image and likeness of our creator and not just ourselves.,"are capable of creating another sentient being in the same image and likeness of our creator, and not just in our own image.","If humans are artificial intelligence but have rights, would that mean any sentient being (possibly far more intelligent)  we create is equal to us?   stance: no.:",1
2145_v11_only_lm_1606,"You can be a kind, compassionate person and bad shit will still happen to you.",will still happen to you,still experience,"Cmv: life is not fair, and it is an important lesson to learn:",1
598_v11_only_lm_465,"When you back an animal into a corner, it will strike with full force.","When you back an animal into a corner, it will strike with full force.","When you corner an animal, it will strike with full force.","Cmv: the ""stop bullying"" campaign is total bullshit. the best thing we can do is let kids defend themselves.:",1
1612_v11_only_lm_1268,I'm an avid christian and I believe that gay marriage is wrong beyond belief.,I'm an avid christian,As a devout Christian,Gay marriage right or wrong:,1
573_v11_only_lm_431,Answer is NO!,Answer is NO!,The answer is no.,Should newspapers that work against our war effort be tolerated?:,1
9_v11_only_lm_10,"Books throw the mind into a series of questions, they take the readers to mystical places, paradise, and even the kitchen sink.","they take the readers to mystical places, paradise, and even the kitchen sink","including fantastical realms, utopias, and even everyday settings",Tv is better than books:,1
188_v11_only_lm_137,You're supposed to click this if the person's argument convinced you that Creationism is true.,You're supposed to click this,You're supposed to click this if,Evolution vs creation:,1
371_50a_50ss_118,this is my big problem with christianity: why is it about belief.,about belief.,mainly about faith and belief?,Christianity or atheism:,1
1005_50a_50ss_329,And if you are going to be irresponsible dont let a new life die for it!,you are going to be irresponsible dont let a new life die for it!,"a woman decides to go through with the pregnancy, it is important that she has access to the best medical care available to ensure that the baby is healthy.",Pro choice vs pro life:,1
400_50a_50ss_131,"First of all, the Constitution does NOT guarantee the ""pursuit (or persuit) of happiness"".",persuit,pursuit,Why does the government have the right to enact 'morals' laws?:,1
255_50a_50ss_70,I had the oppertunity to visit Dar just a couple of weeks back.,oppertunity,opportunity,Any ultra highly intelligent people who understand tanzania land issues and possible future outcomes?:,1
1609_50a_50ss_503,"It should not be a political issue, because my personal, religious things should be separate from government regulation.","because my personal, religious things should be separate from government regulation",as the government should not be involved in regulating a religious institution,Gay marriage right or wrong:,1
417_50a_50ss_137,In many cases it could be conservatism is masquarading as pro-life.,masquarading,masquerading,Hypocrites?:,1
1107_50a_50ss_373,All we can say is a big IF because we are not yet 100% sure if this nation itself could lead the whole world.,this nation itself,India,India has the potential to lead the world:,1
598_50a_50ss_190,I also believe the laws in place are turning kids into people who can't solve problems on their own.,turning kids into people who can't solve,acting as a deterrent to kids from taking initiative and solving,"Cmv: the ""stop bullying"" campaign is total bullshit. the best thing we can do is let kids defend themselves.:",1
709_50a_50ss_212,"To answer your question and to refute the genius who compared captial punishment to abortion: The fact is, yes, there have been far too many instances where people have been put to death then later found innocent.",captial,capital,Should capital punishment be allowed?:,1
1609_50a_50ss_504,Marriage and the government should not mix.,not mix,remain separate,Gay marriage right or wrong:,1
1029_50a_50ss_354,my sister does this for a living and their departements are severly underfunded and understaffed.,departements are severly,departments are severely,Do you feel that child protective services are doing there job protecting children.?:,1
573_50a_50ss_182,"However, I think the bigger problem is finding out who leaks this information, there are a lot of Clinton era hold-overs.",there are a lot of Clinton era hold-overs,as it can potentially harm our troops' safety on the ground,Should newspapers that work against our war effort be tolerated?:,1
1146_50a_50ss_394,Good idea for separate student from other people for at least increase garment job.,at least increase garment job,increased security jobs,Is the school uniform a good or bad idea:,1
387_50a_50ss_126,Some Straight couples just get married for the benefit of getting kids.,Some Straight couples just get married for the benefit of getting kids,"For straight couples, getting married is more of a legal benefit, rather than for the purpose of having a family",Gay marriage right or wrong:,1
1655_50a_50ss_519,but you have president Bush who did go to congress.,congress,Congress to get approval,Was it legal when clinton spied on americans?:,1
1929_50a_50ss_592,It denies rational & impartial common sense.,&,and,Christianity or atheism:,1
1154_50a_50ss_402,"Same sex marrage can couse a lot of contriverse, it puts peoples life at risk in extrem cases gay marrage has caused so much trouble pepole has resulted in murder and sucied",extrem cases gay marrage has caused so much trouble pepole has resulted in murder and sucied,extreme cases.,Gay marriage right or wrong:,1
1950_50a_50ss_599,Dosen't it say in the declaration of independence that we have the right to life liberty and the purist of happiness,purist of happiness,pursuit of happiness.,Gay marriage right or wrong:,1
1018_50a_50ss_334,I don't know what the lady hoped to gain from recording the conversation other than to create more drama.,other than to create more drama,", but I would be cautious about taking any action that could be challenged in court",Is it illegal to record a phone conversation?:,1
666_50a_50ss_192,"In the United States of America, pro-choice is the only constitutional way to go.","of America, pro-choice is the only constitutional way to go",", the constitutional right to choose is the only option that is legally permissible",Pro choice vs pro life:,1
1788_50a_50ss_561,"if the woman was raped, it most certainly is Not the baby's fault.",if,If,Pro choice vs pro life:,1
1930_50a_50ss_595,No one ever said science is PERFECT.,PERFECT,definitive,Christianity or atheism:,1
1853_50a_50ss_575,Welfare means having to pay for some fat ass that didn't know any better than to eat at McDonalds every day.,fat ass that didn't know any better than to eat at McDonalds every day,essential needs that the individual might not have been able to afford if they had to pay out of pocket for them,Welfare: best system   stance: no welfare!:,1
938_50a_50ss_306,My fiancé had a bruise on her arm and soar for a few days.,soar,sore,"Business review: 1.0 stars
business name: hakkasan nightclub. city: las vegas. categories: nightlife, chinese, lounges, cantonese, bars, dance clubs, restaurants:",1
528_50a_50ss_171,I believe that spanking you child because it shows then that what they did was wrong and if they dont want the feeling of a but woppen then they wont make the same mistake twice.,but woppen then they wont,"physical strike, they will be less likely to",Human growth and development should parents use spanking as an option to discipline:,1
303_50a_50ss_104,"To utter that sentence - or even contemplate it - applies existence to something that is ""nothing.""","applies existence to something that is ""nothing.""","implies that something does exist, which is logically impossible.",Nothing exists   stance: nothing exists:,1
1902_50a_50ss_586,How are we supposed to curb childhood obesity if we don't start at a young age?,don't start at a young,do not start at an early,Should physical education be mandatory in schools:,1
2012_50a_50ss_626,"owen wilson's kentucky fried accent goes in and out all movie, and the death scene in life aquatic pales to the suicide scene of luke wilson in RT.",luke wilson,Luke Wilson,The life aquatic vs. the royal tenenbaums   stance: the royal tenenbaums:,1
965_50a_50ss_322,You are 100% right because I am in Pe and they make us wear these stupid outfits.,stupid outfits,"uniforms, which can be cumbersome",Should physical education be mandatory in schools:,1
830_50a_50ss_251,You can fix if he's lousy you can talk to him and knock some sense into him.,knock some sense into him,try to change his behavior,Is it better to have a lousy father or to be fatherless:,1
954_50a_50ss_318,"Nah, they can't even organize their damned streets!",damned streets,own cultures and celebrations,India has the potential to lead the world:,1
1909_50a_50ss_588,I choose pro-choice because I have the option to choose pro life.,option to choose pro life,freedom to make my own decisions,Pro choice vs pro life:,1
1017_50a_50ss_333,"so girls need to take care, be aware of your own safety dont give ""strange"" guys the upperhand if you dont want to be date raped..","so girls need to take care, be aware of your own safety dont give ""strange"" guys the upperhand if you dont want to be date raped.","Girls also feel that their safety is not their priority anymore, and if parents try to warn them they react by going out without being as careful as they should be",Why do u think date rape is on the rise today?:,1
1656_50a_50ss_520,yes and most of them are hypocrites.,yes,"Yes,","In the usa, are judges too powerful?:",1
131_50a_50ss_45,It's things exactly like this that turned the potentially temporary market drop into a huge and horrid 'Great Depression'......,huge and horrid 'Great Depression'.....,horrible Great Depression,"Will the economy recover shortly?   stance: yes, it will recover quickly (months):",1
1610_50a_50ss_505,Gay marriage is wrong.,wrong,"controversial as it goes against traditional views on marriage, which is between a man and a woman",Gay marriage right or wrong:,1
1609_50a_50ss_502,"We take a personal, religious institution and regulate it, then the government comes back and wants to redefine it.",then the government,and the government then,Gay marriage right or wrong:,1
1574_50a_50ss_497,All TV shows are written down as scripts (a form of book) first...,(a form of book) first..,"first, which is the same process used for a screenplay",Tv is better than books:,1
1879_50a_50ss_584,Also they feel sense of kinship and sense of belonging.,Also they feel,"Additionally, they feel a",Is the school uniform a good or bad idea:,1
229_50a_50ss_65,one reason is just because so many more people agree with this side now,now,", likely due to increased awareness.",Gay marriage right or wrong:,1
916_50a_50ss_303,i think black ppl give more of a bad name!...only bcuz more then half of all jails are black ppl and u barely c white people on tv when anything bad happins!,i think black ppl give more of a bad name!...only bcuz more then half of all jails are black ppl and u barely c white people on tv when anything bad happins!,I think that Black people give a more negative impression when it comes to crime rates.,"Who gives society a bad name,,,black people or white people?   stance: black:",1
788_50a_50ss_247,FF sticks to world wide web consortiums standards much closer than IE ever did or will.,or will,", which is why it has a much wider usage share",Firefox vs internet explorer:,1
303_50a_50ss_107,"Therefore, we must apply existence to nothing - making nothing something indeed!",- making nothing something indeed!,in order to make it something.,Nothing exists   stance: nothing exists:,1
1929_50a_50ss_593,"Its teachings, written by an all powerful, all knowing, creator of the universe, are filled with contradictions.",are filled with contradictions,contain conflicting accounts that are difficult to verify,Christianity or atheism:,1
1909_50a_50ss_587,This is a rather simple choice for me.,rather simple,personal,Pro choice vs pro life:,1
1612_50a_50ss_512,"This country was founded on christian beliefs, and we should adhere to the belifs used to make us what we are today.",belifs used to make us what we are today,beliefs that established us as a nation,Gay marriage right or wrong:,1
1142_50a_50ss_392,"If given the opportunity to advance the human race, every person alive should take it; choosing personal gain over advancing the common good is selfish.",selfish,the right thing to do,Which type of endeavor is better a personal pursuit or advancing the common good:,1
982_50a_50ss_324,Yeah I have a bottle of water next to me its no bid deal!,next to me its no bid deal!,"nearby, which I think is a useful thing to have when I'm working.",Ban plastic water bottles:,1
2062_50a_50ss_641,"I dont want to say i officially have a position, but i want someone on the other side to answer this because i honestly just dont know: if a 14 year old is raped (which, we have established, happens), and she then gets pregnant, but because she is 14, she will die if she has the baby, what is the pro life decision?",pro life,pro-life,Pro choice vs pro life:,1
1792_50a_50ss_563,"What is wrong with it, if they want to marry let them.",let them.,?,Gay marriage right or wrong:,1
513_50a_50ss_167,I wouldn't care if I grew up and had lousy father even if he has no job or life and maybe even an alcohlic.,alcohlic,alcoholic background,Is it better to have a lousy father or to be fatherless:,1
1977_50a_50ss_611,i would love to see that day.,day,come into effect,Will cigarettes finally become illegal?:,1
1970_50a_50ss_600,It seems that what bothers you most is the inconsistency of laws.,you,me,"Do you hate ""law"" as much as i hate ""law""?:",1
1632_50a_50ss_514,Statistics prove that less than 1% of women who are raped get pregnant because of the adrenalin rush.,because of the adrenalin,due to the adrenaline,Pro choice vs pro life:,1
266_50a_50ss_86,"I don't think that the social elite will go without fair trade or organic even though its riddled with GM, due to snobbery.","its riddled with GM, due to snobbery",it may contain GM products,Is fair trade real or just a gimmick to further differentiate products in saturated markets?:,1
965_50a_50ss_323,I think they make us wear those,those,"the uniforms for safety purposes, which is useful in PE activities.",Should physical education be mandatory in schools:,1
1146_50a_50ss_395,Why we use soldier uniform?,we use soldier,do we use military,Is the school uniform a good or bad idea:,1
1656_50a_50ss_521,"our DUI judge places people in jail, takes away their freedom, but it's okay for him to sit on the bench drunk.",our,Our,"In the usa, are judges too powerful?:",1
1695_50a_50ss_538,There is already so much undue influence by corporations that I think the ability to fund pro-union politicians would be a fine democratic check to the power of capital.,fine democratic check to,good democratic check against,"Cmv: i believe unions should be able to use pacs and super pacs during election season, but corporations shouldn't.:",1
1977_50a_50ss_607,it would save hospitals thousands of patients with cigarette-induced cancer.,it,It,Will cigarettes finally become illegal?:,1
8_50a_50ss_3,and it is educational,educational,also educational.,Tv is better than books:,1
280_50a_50ss_89,"However, the annexation of a portion of Germany is arguably more morally justifiable than basically conquering Palestine because of a religion-based claim.",because of,due to,Cmv: israel should have been established within the borders of germany as an independent state following the second world war.:,1
1980_50a_50ss_614,"Yes, in North Carolina, there is a three day waiting period to purchase a hand gun.","Yes, in",In,Do you know of any gun control laws in america??:,1
493_50a_50ss_163,Could a unproven higher power have created a perfect world that appeared to have existed for more than 10 million years when really it is only 1 hundred thousand years old?,1 hundred thousand,"100,000",Evolution vs creation:,1
1788_50a_50ss_562,"the woman with the baby whoever they are should speak For the baby, and know that the baby would want to live.",the woman with the baby whoever they are,The woman,Pro choice vs pro life:,1
1977_50a_50ss_609,it would only save lives and money.,it,It,Will cigarettes finally become illegal?:,1
1024_50a_50ss_338,At least they happen to be the paper that the Bush Admin. is targeting.,Admin. is,Administration was,Will someone from the washington post go to jail for treason?:,1
1977_50a_50ss_608,i dont think that is a loss of money.,i dont think that is,I don't think that it being illegal would be,Will cigarettes finally become illegal?:,1
1970_50a_50ss_601,We have laws that are supposedly in place (like the seatbelt law) to protect ourselves from harming ourselves -- yet we have not legislated all forms of self-harm.,forms,types,"Do you hate ""law"" as much as i hate ""law""?:",1
1736_50a_50ss_547,Books don't ruin your eyes like TV.,don't ruin your eyes like TV,do not pose the same risk to your eyes as TV viewing does,Tv is better than books:,1
280_50a_50ss_87,Why should an Israeli state be established in a historically relevant but highly dangerous location because of an historical claim that is thousands of years old?,because of an historical claim that is thousands of years old,when an alternative location could offer more security for the Jewish population,Cmv: israel should have been established within the borders of germany as an independent state following the second world war.:,1
1612_50a_50ss_511,I'm an avid christian and I believe that gay marriage is wrong beyond belief.,wrong beyond belief,not in accordance with my faith,Gay marriage right or wrong:,1
8_50a_50ss_2,I thick that book are better than TV is it is better i can put you in a whole norther wold,is it is better i can put you in a whole norther wold,because you can get a much better immersive experience when reading.,Tv is better than books:,1
1107_50a_50ss_374,This nation doesn't have yet enought potentials and ability to sustain the needs of the people.,This nation doesn't have yet enought,India does not yet have the,India has the potential to lead the world:,1
1977_50a_50ss_606,"in response to another person's answer, if cigarettes were made illegal, it would save countless peoples' health and lives.",peoples' health and lives,lives and money,Will cigarettes finally become illegal?:,1
883_50a_50ss_277,"We've got a bunch of Good Ole' Boys up there scratching each others' backs, making a living off of us and turning it into a career.",turning it into a career,not doing anything meaningful to address our issues,"Patriot act was passed unread, is anyone in congress of usa worth his or her salary ?:",1
1977_50a_50ss_610,"besides, cigarette industry deserves to crash.",crash,be regulated in a way that would help save lives,Will cigarettes finally become illegal?:,1
593_50a_50ss_187,When the fingerstache meme first became popular I was mortified because the moustache is now a symbol of barbarism and brutality towards man.,because the moustache is now a symbol of barbarism and brutality towards man,as it added to the general negative perception,"Cmv: the moustache, facial hair in general, has become the embodiment of evil and the harbinger of bad times.:",1
1980_50a_50ss_617,New York being one of the toughest!,!,in terms of gun laws.,Do you know of any gun control laws in america??:,1
1980_50a_50ss_616,"In the mean time, you could have bought as many of what ever you want off a street corner in one day and be done with it.",what ever,whatever,Do you know of any gun control laws in america??:,1
830_50a_50ss_250,Having a lousy father you have a father that cares for you and loves you.,you,", you can still",Is it better to have a lousy father or to be fatherless:,1
830_50a_50ss_252,I think it would hurt me not knowing who my father is and would want to know who he is.,me not knowing,more if I don't know,Is it better to have a lousy father or to be fatherless:,1
1291_50a_50ss_447,Means you don't have to worry about what you hve to wear!,hve,have,Is the school uniform a good or bad idea:,1
1503_50a_50ss_483,I just don't know if you are referring Latinos as a whole or to an specific group.,an,a,"When a latino does anything, the excuse is, it's their culture. how come i can't do that? wht about my culture:",1
788_50a_50ss_246,"Seperate enititys, not in the least bit attached!",Seperate enititys,Separate entities,Firefox vs internet explorer:,1
1925_50a_50ss_590,"From a biological standpoint, men and women were ""engineered"" to be together.","""engineered"" t",designed,Gay marriage right or wrong:,1
1361_50a_50ss_463,"Saying it with an ""a"" and saying ith with an ""er"" is no difference.",is no,does not make a,Why do black people call each other the n word?:,1
1357_50a_50ss_460,"if you don't plan on staying with someone, or having children, or making property community, there is no need for it.",community,communal,Does remaining life partners make more sense than marriage?:,1
1268_50a_50ss_436,"in the past, children could walk around as they pleased, to and from the candy store, to and from school.",could walk around as they pleased,were able to walk around freely,Is porn wrong:,1
1695_50a_50ss_536,I understand the democratic party collects the most money from PACs.,democratic party collects,Democratic Party receives,"Cmv: i believe unions should be able to use pacs and super pacs during election season, but corporations shouldn't.:",1
1655_50a_50ss_516,if it is wrong now it was wrong then.,if it is wrong now,"If it was wrong then,",Was it legal when clinton spied on americans?:,1
22_50a_50ss_13,Or do you need proof that this highly organized machine came to be about by a mere accident or order of circumstances?,accident or order,combination,Evolution vs creation:,1
727_50a_50ss_219,"They will all wake up in due time, probably when the country is under Martial law, with curfews imposed, and they become prisoners in their own house.",house,homes,It's been proven 9/11 is an inside job.?:,1
699_50a_50ss_201,"To have a law that favors one religion, or lack thereof, over another is the bane of freedom.",bane of freedom,bedrock of our democracy,Gay marriage right or wrong:,1
788_50a_50ss_245,Who said anything about FF/mozilla having anything to do with steve jobs/apple?,apple,Apple,Firefox vs internet explorer:,1
475_50a_50ss_153,"The only memory issues I've come across is on opening multiple windows (20 or more at once) or when leaving Firefox active for three hours or more at a time (A known issue, which a simple restart will fix).",A,a,Firefox vs internet explorer:,1
762_50a_50ss_235,My personal convictions could never allow me to support caging an animal up behind bars for the amusement of people.,could never allow me to support,would prevent me from supporting,Should zoo's be made illegal?   stance: yes:,1
709_50a_50ss_213,"Again, I believe there should be WITHOUT a doubt concrete evidence against a person who is put on death row.",WITHOUT,without,Should capital punishment be allowed?:,1
1285_50a_50ss_444,Some people say God is against porn.,porn,"pornography, as it is prohibited in the Bible",Is porn wrong:,1
666_50a_50ss_193,"Elsewhere in the world, people will do whatever they want.",will do whatever they want,have more freedom to make their own decisions,Pro choice vs pro life:,1
691_50a_50ss_195,This is probably a fight between two armies where both doesn't win until the end.,This is probably a fight between two armies where both doesn't win until the end,"Both sides have their own beliefs, but I believe that Christianity is the only religion that can bring salvation, so I won't stop believing in it",Christianity or atheism:,1
244_50a_50ss_67,"Let the churches perform marriages for whomever they think fit, and let the government simply record the marraiges or civil unions and grant equal rights to them all.","Let the churches perform marriages for whomever they think fit, and let the government simply record the marraiges or civil unions and grant equal rights to them all","With respect to polygamy, it is a different issue and the public's opinion on it is still evolving",Should same sex marriages be legal?:,1
2120_50a_50ss_653,"sorry, but, no; i don't think there will be laws protecting white men.","sorry, but, no; i don't think there will be laws protecting white men","If you do the job well, regardless of your gender, you should get paid the same",Employment law?:,1
289_50a_50ss_95,But Yuengling is mass produced and... actually pretty good.,But Yuengling is mass produced and... actually pretty good,"They tend to appreciate something special like Yuengling, which is good enough to not offend, and just shitty enough to please the unwashed plebs",Cmv: i think yuengling is the best beer to get if you are having a party and don't know what beers people like.:,1
746_50a_50ss_229,I don't know how anybody who can stand to sit in a stadium for several hours in the sun watching cars drive really fast in circles.,watching cars drive really fast in circles,", but the drivers are only doing laps around the track",Cmv: nascar and formula 1 racing are not a sports.:,1
257_50a_50ss_80,It's not evil or dirty.,It's not evil or dirty,"If you are younger and younger, you should definitely learn how to practice safe sex",Why not ban teenage sexuality altogether?:,1
257_50a_50ss_79,Sex should not be taught as an evil thing.,Sex should not be taught as an evil thing,"It's not a bad thing, but you should be aware of it",Why not ban teenage sexuality altogether?:,1
